FormatVersion,0.1a,,,,,
ProdName,pProdName,ProdType,FreqL,FreqH,Value,Region
C9130AXI,,D,2412,2472,23,
C9130AXI,,D,5160,5720,26,
P-LTEA-LA,IR1101-K9,D,700,3600,23,JP
5G-ANTM-SMA-D,P-LTEA-LA,A,617,960,1.2,
5G-ANTM-SMA-D,P-LTEA-LA,A,1430,3500,2.5,
5G-ANTM-SMA-D,P-LTEA-LA,A,3500,6000,5.5,
P-LPWA-900,IR1101-K9,D,902,928,13,
IXM-LPWA-900-16-K9,,D,920,928,11,JP
ANT-LPWA-DB-O-N-5,,A,,,4,
CAB-L400-20-N-N,,C,,,1,
ACC-LA-H-NM-NF,,O,,,0.5,
FLMESH-HW-VOLO-1,,D,,,23,JP
FLMESH-HW-VOLO-1,,A,,,14,JP
FLMESH-HW-4200-1,,D,,,23,
FLMESH-HW-ANT-41,,A,,,10,
FLMESH-HW-ACC-44,,C,,,1,
